epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,557.419,1.32248,1.15023,0.02583,0.78322,0.6257,0.57293,0.28321,1.82677,1.20477,0.04347,0.000218,0.000218,0.000218
92,562.514,1.28366,0.96852,0.02531,0.81395,0.58659,0.54399,0.29373,1.74291,1.22369,0.03824,0.0001982,0.0001982,0.0001982
93,567.484,1.27171,0.95095,0.0246,0.7931,0.64246,0.59727,0.3071,1.81495,1.16485,0.04114,0.0001784,0.0001784,0.0001784
94,572.608,1.20584,0.91042,0.0227,0.73171,0.67039,0.615,0.31483,1.74977,1.19564,0.03798,0.0001586,0.0001586,0.0001586
95,577.671,1.19973,0.93052,0.02233,0.72289,0.67039,0.61975,0.3217,1.75007,1.20891,0.03911,0.0001388,0.0001388,0.0001388
96,582.981,1.2453,0.98918,0.02379,0.70414,0.6648,0.5997,0.31854,1.76734,1.19325,0.03876,0.000119,0.000119,0.000119
97,587.975,1.20933,0.93842,0.02359,0.74096,0.68715,0.62289,0.3244,1.75779,1.21766,0.03871,9.92e-05,9.92e-05,9.92e-05
98,592.969,1.23482,0.85397,0.02478,0.75522,0.63128,0.59889,0.30958,1.79749,1.18512,0.03982,7.94e-05,7.94e-05,7.94e-05
99,597.952,1.10827,0.91824,0.02137,0.69822,0.65922,0.58874,0.3036,1.78403,1.23079,0.0392,5.96e-05,5.96e-05,5.96e-05
100,603.082,1.20864,0.90465,0.02257,0.73389,0.63168,0.57889,0.29692,1.78892,1.22044,0.03937,3.98e-05,3.98e-05,3.98e-05
