epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,475.598,1.28267,1.17304,0.01899,0.64416,0.6877,0.62059,0.31867,1.73665,1.38048,0.03801,0.0004358,0.0004358,0.0004358
81,480.533,1.2934,1.19077,0.01914,0.68571,0.67039,0.59619,0.31253,1.69839,1.30781,0.03666,0.000416,0.000416,0.000416
82,485.457,1.27819,1.1412,0.01965,0.69766,0.60589,0.55247,0.26765,1.77434,1.42993,0.03911,0.0003962,0.0003962,0.0003962
83,490.371,1.25706,1.15245,0.01879,0.75441,0.61453,0.62063,0.30637,1.71739,1.34128,0.03698,0.0003764,0.0003764,0.0003764
84,495.321,1.237,1.19145,0.01789,0.75668,0.60335,0.60989,0.30524,1.6842,1.35403,0.03677,0.0003566,0.0003566,0.0003566
85,500.448,1.27145,1.16596,0.01822,0.75486,0.59777,0.59279,0.27555,1.72766,1.41878,0.0373,0.0003368,0.0003368,0.0003368
86,505.413,1.25258,1.17355,0.01839,0.7618,0.64246,0.60723,0.30992,1.66567,1.29089,0.03638,0.000317,0.000317,0.000317
87,510.366,1.26965,1.09087,0.01915,0.70323,0.64246,0.5684,0.28155,1.71577,1.39604,0.03671,0.0002972,0.0002972,0.0002972
88,515.296,1.18767,1.14597,0.01851,0.72303,0.68546,0.64361,0.32112,1.6706,1.29983,0.03612,0.0002774,0.0002774,0.0002774
89,520.225,1.24144,1.11138,0.01888,0.76212,0.64804,0.61201,0.29748,1.73172,1.29349,0.03796,0.0002576,0.0002576,0.0002576
90,525.169,1.21378,1.14925,0.01859,0.72426,0.69832,0.63924,0.31394,1.7025,1.24223,0.03685,0.0002378,0.0002378,0.0002378
91,537.989,1.26367,1.16628,0.0244,0.77621,0.67818,0.63669,0.29861,1.82384,1.23331,0.04311,0.000218,0.000218,0.000218
92,542.947,1.32962,0.95645,0.0265,0.74566,0.64804,0.59676,0.30743,1.74499,1.19237,0.03835,0.0001982,0.0001982,0.0001982
93,547.877,1.25451,0.97028,0.02405,0.69006,0.65922,0.58104,0.30063,1.76405,1.27122,0.04002,0.0001784,0.0001784,0.0001784
94,552.789,1.20901,0.9472,0.02258,0.79554,0.62011,0.62503,0.30684,1.75117,1.27585,0.03934,0.0001586,0.0001586,0.0001586
